,between centrality,degree centrality,close centrality,eigen centrality,strength,degree,date
Ripple,0.020658793820558533,0.8823529411764706,0.8947368421052632,0.241589433602882,113,15,2015-06-07
Titcoin,0.002751782531194296,0.7647058823529411,0.8095238095238095,0.2215938548090055,22,13,2015-06-07
Vertcoin,0.0052231877599524645,0.8235294117647058,0.85,0.23607133458517066,51,14,2015-06-07
NEM,0.0012811942959001779,0.5882352941176471,0.7083333333333334,0.17215603902013116,16,10,2015-06-07
Stellar,0.0,0.29411764705882354,0.5862068965517241,0.08883092876221696,8,5,2015-06-07
Auroracoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,228,36,2018-11-04
Bitcoin,0.0069720034852862175,1.0,1.0,0.1670678234990619,947,37,2018-11-04
Bitcoin Cash,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,320,36,2018-11-04
Bitcoin Gold,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,256,36,2018-11-04
Bitcoin Private,0.0003271233109942787,0.9459459459459459,0.9487179487179488,0.16187665335825466,155,35,2018-11-04
Bitconnect,0.0069720034852862175,1.0,1.0,0.1670678234990619,225,37,2018-11-04
Cardano,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,240,36,2018-11-04
Dash,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,404,36,2018-11-04
Decred,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,172,36,2018-11-04
Dogecoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,533,36,2018-11-04
EOS,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,223,36,2018-11-04
Ethereum,0.0069720034852862175,1.0,1.0,0.1670678234990619,589,37,2018-11-04
Ethereum Classic,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,296,36,2018-11-04
Filecoin,0.00648250188691365,0.972972972972973,0.9736842105263158,0.16300716168366666,116,36,2018-11-04
Gridcoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,234,36,2018-11-04
Litecoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,570,36,2018-11-04
MazaCoin,0.0003271233109942787,0.9189189189189191,0.925,0.15732616620974893,132,34,2018-11-04
