,n,m,number of components,cluser,connected flag,date
0,18,141,1,0.9355172877231701,True,2015-09-06
0,6,15,1,1.0,True,2013-08-25
0,19,152,1,0.9546869625043,True,2016-06-12
0,7,21,1,1.0,True,2014-01-05
0,37,489,1,0.8648529630848609,True,2018-03-11
0,5,10,1,1.0,True,2013-07-14
0,16,82,2,0.9022435897435899,False,2014-11-09
0,12,43,1,0.8683201058201059,True,2014-03-30
0,18,125,1,0.8955141263964792,True,2015-04-05
0,22,191,1,0.9437761069340017,True,2017-03-12
0,5,10,1,1.0,True,2013-05-26
0,18,146,1,0.9620642701525056,True,2015-10-25
0,38,663,1,0.9781557205518553,True,2018-09-30
0,4,4,1,0.5833333333333333,True,2013-02-03
0,22,189,1,0.9396847734309034,True,2016-12-04
0,23,193,2,0.8995604954415023,False,2017-04-30
0,26,265,1,0.8897414232317987,True,2017-09-10
0,27,265,2,0.8567880371861766,False,2017-09-17
0,38,619,1,0.9465433446711415,True,2018-08-19
0,7,21,1,1.0,True,2014-01-26
0,22,189,1,0.9396847734309034,True,2016-12-11
0,18,126,1,0.8990373642334428,True,2015-06-14
0,38,663,1,0.9781557205518553,True,2018-09-16
0,22,189,1,0.9396847734309034,True,2016-12-25
0,7,21,1,1.0,True,2014-01-12
0,19,152,1,0.9546869625043,True,2016-06-05
0,17,98,1,0.8453350570997631,True,2015-03-01
0,22,192,1,0.9433621933621933,True,2017-04-16
0,18,146,1,0.9620642701525056,True,2015-10-04
0,27,266,2,0.8913134849000302,False,2017-09-24
0,11,31,1,0.8448773448773449,True,2014-03-16
0,22,189,1,0.9396847734309034,True,2017-01-22
0,16,80,3,0.8573717948717949,False,2014-09-14
0,13,78,1,1.0,True,2014-06-22
0,18,146,1,0.9620642701525056,True,2015-10-11
0,5,8,1,0.8666666666666666,True,2013-05-12
0,22,192,1,0.9433621933621933,True,2017-03-26
0,19,152,1,0.9546869625043,True,2016-06-26
